carr_way_no,road_id,start_name,end_name,location,latitude,longitude,cway_width,Shape__Length,traff_manage_level__0,traff_manage_level__1,traff_manage_level__2,traff_manage_level__3,traff_manage_level__4,traff_manage_level__5,traff_manage_level__6,traff_manage_level__7,count_Dayofyear,count_Week,count_Year,count_Month,count_Is_month_end,count_Is_month_start,count_Is_quarter_end,count_Is_quarter_start,count_Is_year_end,count_Is_year_start,count_Elapsed,adt,predicted_adt,rmse
4920,2720,3407,2934,235,-36.95900330291296,175.2447556144379,5.8,320.625418587088,0,1,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,735.0,558.95,176.04999999999995
4945,2744,3625,1155,2249,-36.9382051718795,175.18224765393256,6.4,2174.91137497828,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,369.0,798.1004444444445,429.1004444444445
117,3270,1861,3231,2792,-37.27318279229043,174.67883760654598,6.7,2233.2509545918697,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,1245.0,1747.6417720630625,502.6417720630625
4797,2642,2204,4258,284,-36.87123091618477,174.91017558515938,10.6,156.849958603478,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,4379.0,4612.943876262627,233.94387626262687
5062,2828,485,3830,2223,-36.96762840442507,175.04998754383308,6.7,3797.2135349893797,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,1794.0,2031.1163236699895,237.11632366998947
5071,2834,1737,4195,507,-36.974810321586226,175.22855041591325,6.5,1893.99698751471,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,827.0,1193.7535357142856,366.7535357142856
4752,2611,1580,208,2459,-36.97397252743494,175.06667045310363,7.8,2106.19370282097,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,3512.0,4361.951893939395,849.9518939393947
5072,2835,2601,983,64,-36.979333585312396,175.22716585379467,6.2,2723.04891435273,0,1,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,725.0,605.3184259259259,119.68157407407409
5726,2780,2556,606,1092,-36.87981506111557,175.03006750409816,7.7,456.49519173591204,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,4996.0,6893.9484114959105,1897.9484114959105
5292,2979,3718,4162,1056,-36.94102438151689,174.97273052447463,8.2,521.3271072688681,0,0,1,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,9190.0,12449.29,3259.290000000001
220,3211,1338,4015,3257,-37.18927212244828,174.68196837413797,7.2,2173.55430417967,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,2303.0,2791.449713933692,488.4497139336918
65,3232,1128,4454,1882,-37.136971433707245,174.73000633898036,7.4,1792.3377790788502,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,2311.0,3185.112628706419,874.112628706419
6531,2567,303,3646,542,-36.88843012163525,175.00681088488662,10.8,599.6174415852449,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,5866.0,7580.609761904762,1714.6097619047623
87,3251,471,336,536,-37.196004022676576,174.7375945027193,7.3,4934.44896041948,1,0,0,0,0,0,0,0,1,1,2018,1,False,True,False,True,False,True,1514764800,926.0,1580.6640582010584,654.6640582010584
4660,2562,688,782,2240,-36.96704719658757,174.87756757291905,10.0,423.3671092196889,1,0,0,0,0,0,0,0,25,4,2018,1,False,False,False,False,False,False,1516838400,7700.0,7661.58,38.42000000000007
5770,2562,2513,1887,2524,-36.97203287340393,174.88259897112877,10.0,54.963088785610196,1,0,0,0,0,0,0,0,25,4,2018,1,False,False,False,False,False,False,1516838400,7456.0,8394.08,938.0799999999999
4657,2562,3157,1643,2461,-36.970997689845866,174.88080988291156,10.0,102.90749956176701,1,0,0,0,0,0,0,0,25,4,2018,1,False,False,False,False,False,False,1516838400,7705.0,8364.743333333334,659.7433333333338
4658,2562,1106,3519,2358,-36.968891639276045,174.88005038755256,10.0,342.450085678015,1,0,0,0,0,0,0,0,25,4,2018,1,False,False,False,False,False,False,1516838400,8508.0,7652.09,855.9099999999999
5769,2562,1697,757,2092,-36.96467556289228,174.87479114309258,10.0,125.81050152807501,1,0,0,0,0,0,0,0,25,4,2018,1,False,False,False,False,False,False,1516838400,10311.0,9342.586666666666,968.4133333333339
64,3231,3396,1427,2496,-37.115394275719844,174.8545639039647,6.1,658.438613529188,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,968.0,1238.4614713064714,270.46147130647137
65,3232,1128,4454,1882,-37.136971433707245,174.73000633898036,7.4,1792.3377790788502,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,2631.0,3041.0059620397524,410.0059620397524
162,3237,3694,1155,146,-37.13437795008369,174.7099765876245,8.5,367.39603796551,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,206.0,488.11333333333334,282.11333333333334
118,3269,1983,658,644,-37.09108350937011,174.88785843406797,5.6,1353.58959706533,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,659.0,868.7155555555555,209.7155555555555
171,3231,1291,1251,145,-37.1437147514041,174.87107364417304,6.1,481.88432726842,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,1319.0,1488.5517460317462,169.55174603174623
131,3277,3350,3723,3419,-37.122817545311534,174.81107358936137,8.9,2483.80840578442,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,6146.0,5723.937222222223,422.0627777777772
109,3276,1983,542,179,-37.10615768068154,174.84926348818587,5.7,1782.7345033608801,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,231.0,264.865,33.86500000000001
127,3277,376,491,2575,-37.101101675018285,174.871071208578,9.0,1186.41687457349,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,8294.0,7562.6866666666665,731.3133333333335
129,3277,3780,699,2966,-37.105863109541744,174.8548490578391,10.2,1193.8515093327999,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,7980.0,7210.016666666666,769.9833333333336
6016,3443,1822,2991,220,-37.1856950376039,174.82613732300217,8.1,307.4069725766321,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,380.0,5207.53216025641,4827.53216025641
50,3219,3913,2270,2334,-37.105176928022495,174.88236805447087,5.4,1458.1467428376502,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,755.0,1178.4458333333334,423.44583333333344
257,3280,1823,4575,1548,-37.13100703236857,174.77615880202285,6.7,2341.5846329308897,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,2990.0,3137.581047267025,147.58104726702504
76,3380,3840,1155,116,-37.148856961469946,174.7553183485809,6.3,1340.00004781024,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,191.0,251.09777777777782,60.09777777777782
258,3280,676,4243,2614,-37.13638181702,174.75478235210144,8.2,191.726366017737,1,0,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,2670.0,3812.6881904761904,1142.6881904761904
5932,3316,676,4575,2258,-37.111101888752636,174.61714704420191,5.5,3557.49379262425,0,1,0,0,0,0,0,0,38,6,2018,2,False,False,False,False,False,False,1517961600,395.0,520.19,125.19000000000005
