,count_date,road_name,adt,latitude,longitude,sampling_count
0,2010-03-17,WAIUKU RD,4954.0,-37.24546010392995,174.77091665229526,1
1,2012-01-02,WHATIPU RD,356.0,-37.01664413967705,174.55289427412262,2
2,2011-12-26,WHATIPU RD,366.0,-37.01664413967705,174.55289427412262,2
3,1994-10-13,WHATIPU RD,177.0,-37.01645420888745,174.55363226506736,1
4,1982-01-11,WHATIPU RD,173.0,-37.016807846721186,174.55759605251552,4
5,1976-01-11,WHATIPU RD,303.0,-37.016807846721186,174.55759605251552,4
6,1991-01-07,WHATIPU RD,349.0,-37.01682439360468,174.5577087933382,3
7,1990-01-12,WHATIPU RD,670.0,-37.01682439360468,174.5577087933382,3
8,1990-03-25,WHATIPU RD,236.0,-37.01682439360468,174.5577087933382,3
9,1988-09-12,WHATIPU RD,175.0,-37.016807846721186,174.55759605251552,4
10,1992-12-22,WHATIPU RD,428.0,-37.01677490012632,174.55735933372222,1
11,1998-01-05,WHATIPU RD,817.0,-37.01670753093639,174.5569982694593,4
12,1994-12-20,WHATIPU RD,380.0,-37.01670753093639,174.5569982694593,4
13,1995-01-13,WHATIPU RD,299.0,-37.01670753093639,174.5569982694593,4
14,1995-01-06,WHATIPU RD,336.0,-37.01670753093639,174.5569982694593,4
15,2001-01-02,WHATIPU RD,458.0,-37.016638391422596,174.55677205300182,9
16,2000-12-26,WHATIPU RD,372.0,-37.016638391422596,174.55677205300182,9
17,2001-12-26,WHATIPU RD,432.0,-37.016638391422596,174.55677205300182,9
18,2002-01-02,WHATIPU RD,378.0,-37.016638391422596,174.55677205300182,9
19,2005-01-04,WHATIPU RD,399.0,-37.016857339494884,174.55794551241166,1
20,2005-01-04,WHATIPU RD,421.0,-37.01666955505826,174.55301843455555,1
21,1991-11-25,WHATIPU RD,238.0,-37.0167914472372,174.5574720744527,1
22,2004-06-04,WHATIPU RD,498.0,-37.016638391422596,174.55677205300182,9
23,2002-12-29,WHATIPU RD,477.0,-37.016638391422596,174.55677205300182,9
24,2003-06-05,WHATIPU RD,403.0,-37.016638391422596,174.55677205300182,9
25,2005-12-23,WHATIPU RD,375.0,-37.016638391422596,174.55677205300182,9
26,2005-12-30,WHATIPU RD,446.0,-37.016638391422596,174.55677205300182,9
27,1983-01-11,WHATIPU RD,223.0,-37.016807846721186,174.55759605251552,4
28,2004-03-28,WHATIPU RD,226.0,-37.037647584697396,174.51014729573868,1
29,2010-02-24,WHITFORD PARK RD,8515.0,-36.948768928626706,174.96497973770823,1
30,2010-10-05,WHITFORD PARK RD,7584.0,-36.94894669699613,174.9651302905936,1
31,2010-02-24,WHITFORD PARK RD,3664.0,-36.973808108198696,174.99087587795734,1
32,2009-06-23,WISHART RD,1233.0,-36.684650399284244,174.45518041229334,1
33,2010-08-20,WISHART RD,1129.0,-36.686087784254454,174.4563155142662,1
34,2011-03-23,WISHART RD,1251.0,-36.6848295449752,174.45527332315444,1
35,2011-03-23,WISHART RD,1077.0,-36.6993862447731,174.4765812607915,1
36,2009-06-22,WISHART RD,993.0,-36.69946000568904,174.47644834387364,2
37,2010-08-20,WISHART RD,1000.0,-36.69946000568904,174.47644834387364,2
38,2009-11-16,WOODHOUSE RD,1617.0,-37.18676916248829,174.82837114104018,1
39,2009-06-15,AHUROA RD,868.0,-36.51111230838114,174.66058487738002,3
40,2010-02-15,AHUROA RD,1111.0,-36.51111230838114,174.66058487738002,3
41,2011-08-18,AHUROA RD,1003.0,-36.51111230838114,174.66058487738002,3
42,2010-02-15,AHUROA RD,239.0,-36.489556456204646,174.62084038202536,2
43,2009-06-15,AHUROA RD,175.0,-36.48937925703928,174.62061342036648,1
44,2009-06-23,AHUROA RD,252.0,-36.47150669891292,174.55333138314603,1
45,2010-02-25,AHUROA RD,277.0,-36.46737559101257,174.54241219178527,1
46,2011-08-18,AHUROA RD,289.0,-36.46864041806885,174.55053984034976,1
47,2010-03-17,AKA AKA RD,1137.0,-37.233985096121465,174.85345292182237,1
48,2010-11-20,ALBERT RD   (WARKWORTH),654.0,-36.39758635843772,174.65422984866032,1
49,2008-08-04,ALBERT RD   (WARKWORTH),855.0,-36.39715673670585,174.65400888850536,1
50,1978-07-15,AMREINS RD (WAITAKERE),131.0,-36.85435342074632,174.55778110479375,1
51,1982-11-12,AMREINS RD (WAITAKERE),159.0,-36.853971858812926,174.55800890435054,2
52,1992-10-13,AMREINS RD (WAITAKERE),166.0,-36.84513410787903,174.55765009613737,1
53,1984-11-12,AMREINS RD (WAITAKERE),172.0,-36.853971858812926,174.55800890435054,2
54,1998-10-21,AMREINS RD (WAITAKERE),181.0,-36.845125096554014,174.55764991330898,1
55,1996-10-21,BIRDWOOD RD (WAITAKERE),2957.0,-36.86328531810017,174.59183996617168,1
56,1984-08-15,BIRDWOOD RD (WAITAKERE),553.0,-36.86296737385035,174.59202406959298,2
57,1982-04-14,BIRDWOOD RD (WAITAKERE),481.0,-36.86296737385035,174.59202406959298,2
58,1977-08-15,BIRDWOOD RD (WAITAKERE),507.0,-36.863113204874395,174.59190370121811,2
59,1975-01-10,BIRDWOOD RD (WAITAKERE),248.0,-36.863113204874395,174.59190370121811,2
60,1992-07-08,BIRDWOOD RD (WAITAKERE),791.0,-36.86202720282743,174.5929019624179,1
61,1991-04-17,BIRDWOOD RD (WAITAKERE),852.0,-36.86282139245509,174.59215565202808,4
62,1988-11-15,BIRDWOOD RD (WAITAKERE),612.0,-36.86282139245509,174.59215565202808,4
63,1989-04-04,BIRDWOOD RD (WAITAKERE),629.0,-36.86282139245509,174.59215565202808,4
64,1990-06-06,BIRDWOOD RD (WAITAKERE),965.0,-36.86282139245509,174.59215565202808,4
65,1990-06-15,BIRDWOOD RD (WAITAKERE),965.0,-36.862602269829274,174.59236423923005,1
66,2010-03-25,BIRDWOOD RD (WAITAKERE),2209.0,-36.85459964898971,174.5969539467004,1
67,1994-05-06,BIRDWOOD RD (WAITAKERE),858.0,-36.85444992498054,174.59669285407054,1
68,1999-03-11,BIRDWOOD RD (WAITAKERE),1626.0,-36.85464364989226,174.59703337726367,1
69,2002-03-01,BIRDWOOD RD (WAITAKERE),1425.0,-36.85468780143531,174.59710159462017,2
70,1998-06-18,BIRDWOOD RD (WAITAKERE),1198.0,-36.85521565656529,174.59806598278217,1
71,2001-03-17,BIRDWOOD RD (WAITAKERE),1546.0,-36.85468780143531,174.59710159462017,2
72,1999-03-11,BIRDWOOD RD (WAITAKERE),1674.0,-36.854758082120384,174.59723765448842,1
73,2005-05-20,BIRDWOOD RD (WAITAKERE),1826.0,-36.85514522609585,174.5979411347226,1
74,2006-02-20,BIRDWOOD RD (WAITAKERE),1951.0,-36.85460835876476,174.59697656077745,3
75,2009-02-23,BIRDWOOD RD (WAITAKERE),2044.0,-36.85460835876476,174.59697656077745,3
76,2012-02-20,BIRDWOOD RD (WAITAKERE),2222.0,-36.85460835876476,174.59697656077745,3
77,2003-03-09,BIRDWOOD RD (WAITAKERE),1618.0,-36.85341431198147,174.5946075193091,1
78,2004-03-21,BIRDWOOD RD (WAITAKERE),1786.0,-36.85333381342559,174.59456098186843,1
79,2011-08-22,BIRDWOOD RD (WAITAKERE),1681.0,-36.84073464989336,174.59643003884625,1
80,1999-07-27,BIRDWOOD RD (WAITAKERE),877.0,-36.83846366062439,174.59706688362948,2
81,1982-04-15,BIRDWOOD RD (WAITAKERE),232.0,-36.83817982192103,174.59672455998563,3
82,1977-08-15,BIRDWOOD RD (WAITAKERE),148.0,-36.83817982192103,174.59672455998563,3
83,1991-04-10,BIRDWOOD RD (WAITAKERE),517.0,-36.83755759963654,174.59674526430786,1
84,1990-06-06,BIRDWOOD RD (WAITAKERE),592.0,-36.83729552277665,174.59679588457152,4
85,1987-12-12,BIRDWOOD RD (WAITAKERE),342.0,-36.83729552277665,174.59679588457152,4
86,2001-03-17,BIRDWOOD RD (WAITAKERE),1186.0,-36.83957130622087,174.59647313807116,2
87,2002-04-14,BIRDWOOD RD (WAITAKERE),1208.0,-36.83957130622087,174.59647313807116,2
88,1986-05-15,BIRDWOOD RD (WAITAKERE),267.0,-36.83817982192103,174.59672455998563,3
89,1992-06-29,BIRDWOOD RD (WAITAKERE),478.0,-36.83846366062439,174.59706688362948,2
90,1988-10-15,BIRDWOOD RD (WAITAKERE),609.0,-36.83729552277665,174.59679588457152,4
91,1989-04-04,BIRDWOOD RD (WAITAKERE),458.0,-36.83729552277665,174.59679588457152,4
92,2003-05-11,BIRDWOOD RD (WAITAKERE),1253.0,-36.83948960339481,174.5965162962831,2
93,2004-02-15,BIRDWOOD RD (WAITAKERE),1325.0,-36.83948960339481,174.5965162962831,2
94,2005-05-20,BIRDWOOD RD (WAITAKERE),1305.0,-36.84353718960399,174.59379675653932,1
95,2006-05-01,BIRDWOOD RD (WAITAKERE),1375.0,-36.83949861455965,174.59651648363385,3
96,2007-09-03,BIRDWOOD RD (WAITAKERE),1441.0,-36.83949861455965,174.59651648363385,3
97,2008-11-07,BIRDWOOD RD (WAITAKERE),1610.0,-36.83949861455965,174.59651648363385,3
98,2010-11-01,BIRDWOOD RD (WAITAKERE),1826.0,-36.83950777631149,174.5965054599011,2
99,2011-08-24,BIRDWOOD RD (WAITAKERE),1681.0,-36.83950777631149,174.5965054599011,2
100,2009-11-16,BROOKSIDE RD,2157.0,-37.20281387443473,174.75376184624076,1
101,2010-08-06,BUCKLAND RD (PUKEKOHE),6146.0,-37.22397903609532,174.92474161512362,1
102,2011-03-04,EAST COAST RD (TAKA/GLENFIELD/E.C,12598.0,-36.768229017144726,174.75747959140548,2
