count_date,road_name,adt,latitude,longitude,sampling_count
1974-07-12,COLWILL RD,125.0,-36.832190791570454,174.63677663716632,3
1974-08-11,HOBSONVILLE RD,1900.0,-36.803623320393456,174.63897052622605,22
1974-08-11,HOBSONVILLE RD,2853.0,-36.797016465088454,174.65003765157104,1
1974-08-11,TAIKATA RD,2490.0,-36.84119219075721,174.651345341139,1
1974-08-11,GLORIA AVE,1823.0,-36.8488805662449,174.65006392481632,5
1974-08-11,HOBSONVILLE RD,2163.0,-36.81433946748629,174.62987189608086,2
1974-08-11,TE ATATU RD,3733.0,-36.832666516371326,174.64801113079758,11
1974-08-11,KOTUKU ST,1700.0,-36.85090711771048,174.64887375207138,5
1974-08-11,HOBSONVILLE RD,3900.0,-36.8181111559939,174.6157138555315,20
1974-08-11,TE ATATU RD,14450.0,-36.8562027999015,174.65178045554353,10
1974-08-11,YEOVIL RD,2025.0,-36.84424317584802,174.6510296588263,7
1974-08-12,DON BUCK RD,2240.0,-36.821362040791826,174.60729507387123,15
1974-08-15,BRIGHAM CREEK RD,2060.0,-36.801046320805675,174.6441275633334,14
1974-09-11,RED HILLS RD,988.0,-36.8367989348246,174.6008786016436,8
1974-09-11,HEPBURN RD,3042.0,-36.89472536331767,174.65188096904203,4
1974-09-11,ROYAL RD,2070.0,-36.83123060882707,174.6060662880333,12
1974-09-11,HEPBURN RD,2120.0,-36.892293355769134,174.65435346485722,6
1974-09-11,SWANSON RD (HENDERSON),3844.0,-36.860589897186365,174.6105954404039,12
1974-09-12,DON BUCK RD,2385.0,-36.858584786982185,174.60956625964027,17
1974-09-12,DON BUCK RD,2282.0,-36.84371736873824,174.6071909961291,7
1974-09-12,DON BUCK RD,2161.0,-36.8372200428427,174.60106680201648,1
1974-09-12,CRYSTAL AVE,567.0,-36.88497020887785,174.65141266239914,2
1974-09-12,DIVICH AVE,1050.0,-36.878558488483094,174.64708956128098,2
1974-09-15,BUTTERWORTH DR,1350.0,-36.899144469237505,174.6568806230603,12
1974-09-15,BUTTERWORTH DR,1267.0,-36.895163305632465,174.65214852158513,11
1974-10-11,WOODLANDS PARK RD,1966.0,-36.94810002131396,174.62994402158085,3
1974-10-11,KAURILANDS RD,3210.0,-36.92678274260496,174.65408817073398,9
1974-10-11,KONINI RD (WAITAKERE),388.0,-36.93470519224937,174.639820093884,4
1974-10-11,KAURILANDS RD,3382.0,-36.92209499506952,174.64830641194825,7
1974-10-11,WOODLANDS PARK RD,3510.0,-36.93729336768497,174.6442883491816,8
1974-10-11,KOHU RD,255.0,-36.93830538100893,174.65384318524144,2
1974-10-11,KOHU RD,993.0,-36.937298483877356,174.64522042180968,5
1974-10-11,KONINI RD (WAITAKERE),472.0,-36.933312037193645,174.6486490388187,6
1974-10-11,KONINI RD (WAITAKERE),1176.0,-36.924299343431464,174.64924077287688,10
1974-10-11,WOODLANDS PARK RD,1968.0,-36.94165418553956,174.6333101654519,1
1974-10-12,DAFFODIL ST,792.0,-36.932397174382494,174.6548045840379,2
1974-11-01,WEST COAST RD (WAITAKERE),726.0,-36.93061713329102,174.58170858172298,4
1974-11-01,KAREKARE RD,136.0,-36.968324234949286,174.4887476031294,3
1974-11-11,PARKER RD (WAITAKERE),627.0,-36.91953818243999,174.61196931593705,5
1974-11-11,LAINGHOLM DR,360.0,-36.949801291125716,174.64253577190217,12
1974-11-11,VICTORY RD (LAINGHOLM),390.0,-36.96784475321404,174.6419911251836,1
1974-11-11,WEST COAST RD (WAITAKERE),730.0,-36.9325287872546,174.58097336835442,4
1974-11-11,FOREST HILL RD,178.0,-36.93026222053325,174.5812858283171,9
1974-11-11,VICTORY RD (LAINGHOLM),722.0,-36.96759912973194,174.6316964826876,3
1974-11-11,WEST COAST RD (WAITAKERE),1416.0,-36.91869043642721,174.60734889453906,6
1974-11-11,HUIA RD (WAITAKERE),2654.0,-36.94873463376453,174.6296767916165,3
1974-11-11,HUIA RD (WAITAKERE),1364.0,-36.95765617959497,174.62322912342592,9
1974-11-11,PIHA RD,1340.0,-36.932926209366244,174.57480621854359,20
1974-11-11,HUIA RD (WAITAKERE),1220.0,-36.96251899394114,174.616289778348,4
1974-11-11,SHAW RD (WAITAKERE),753.0,-36.9120248668515,174.62094815049446,1
1974-11-11,LAINGHOLM DR,229.0,-36.96623812648293,174.6382385776185,8
1974-11-11,KELLYS RD (ORATIA),129.0,-36.918211030897616,174.607473539337,4
1974-11-12,CORNWALLIS RD,380.0,-36.999301323514096,174.5957616086895,14
1974-11-15,CARTER RD (WAITAKERE),462.0,-36.9164601683338,174.6149466160095,7
1974-12-01,VICTORY RD (LAINGHOLM),1062.0,-36.96459917410198,174.6302733094221,2
1975-01-10,BETHELLS RD (WCC),535.0,-36.86739333596501,174.5048482556989,10
1975-01-10,BIRDWOOD RD (WAITAKERE),248.0,-36.863113204874395,174.59190370121811,2
1975-01-11,WEST COAST RD (WAITAKERE),2602.0,-36.91199188580352,174.6207229566594,6
1975-01-11,LAINGHOLM DR,399.0,-36.949801291125716,174.64253577190217,12
1975-01-11,SHAW RD (WAITAKERE),750.0,-36.91211451686566,174.62098372238103,1
1975-01-11,WEST COAST RD (WAITAKERE),1739.0,-36.91869043642721,174.60734889453906,6
1975-01-11,SEYMOUR RD (SUNNYVALE),1531.0,-36.90501215023561,174.62689425285038,12
1975-01-11,KELLYS RD (ORATIA),52.0,-36.918211030897616,174.607473539337,4
1975-01-11,PARKER RD (WAITAKERE),446.0,-36.91953818243999,174.61196931593705,5
1975-01-11,WEST COAST RD (WAITAKERE),3359.0,-36.9083481329866,174.62748142176818,18
1975-01-11,KONINI RD (WAITAKERE),248.0,-36.93470519224937,174.639820093884,4
1975-01-11,HOBSONVILLE RD,1850.0,-36.803623320393456,174.63897052622605,22
1975-01-11,WAIMUMU RD,2764.0,-36.84463344499396,174.6246718243528,3
1975-01-11,HOLDENS RD (ORATIA),49.0,-36.90529150836673,174.61169192454602,1
1975-01-11,SHAW RD (WAITAKERE),365.0,-36.94232543250987,174.62709227553802,1
1975-01-21,KONINI RD (WAITAKERE),408.0,-36.933312037193645,174.6486490388187,6
1975-01-22,FOREST HILL RD,396.0,-36.9141892583779,174.60293273608886,9
1975-01-22,DON BUCK RD,2086.0,-36.84528400056511,174.60798641494927,3
1975-01-22,HOBSONVILLE RD,3667.0,-36.8181111559939,174.6157138555315,20
1975-01-22,DON BUCK RD,1938.0,-36.821362040791826,174.60729507387123,15
1975-01-25,CARTER RD (WAITAKERE),309.0,-36.9164601683338,174.6149466160095,7
1975-02-11,THE TERRACE (WAITAKERE),284.0,-36.781066668217065,174.651017843861,1
1975-02-11,TOTARA RD (WHENUAPAI),882.0,-36.77881832253268,174.63630189125763,3
1975-02-11,LINCOLN PARK AVE,431.0,-36.83985328648493,174.61960277794978,8
1975-02-11,KAURI RD (WHENUAPAI),1115.0,-36.782543588030684,174.64395624848353,1
1975-02-11,KINGSWAY RD,738.0,-36.78132146463626,174.6508440204422,4
1975-02-11,TRIANGLE RD (WAITAKERE),1706.0,-36.840192034537694,174.62054070794963,9
1975-02-11,TOTARA RD (WHENUAPAI),1785.0,-36.792185859277176,174.61319665298092,10
1975-02-11,HUIA RD (WAITAKERE),927.0,-36.94921853520828,174.64165852930802,6
1975-02-11,HUIA RD (WAITAKERE),1974.0,-36.93883639029766,174.65389957822154,2
1975-02-12,FERRY PDE,434.0,-36.781296132916886,174.65137014173595,2
1975-02-15,BRIGHAM CREEK RD,1634.0,-36.7965788269939,174.59759768609692,13
1975-03-11,MAKORA RD,509.0,-36.837194552007006,174.61759549499092,9
1975-03-11,LINCOLN RD (HENDERSON),10100.0,-36.86341026804175,174.62917502449196,11
1975-03-11,TOTARA RD (WHENUAPAI),1011.0,-36.792185859277176,174.61319665298092,10
