Road Name,Carriageway Start Name,Carriageway End Name,Description (location of traffic count),Direction,Count Start Date,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total
ARNEY RD (WAITAKERE),SWANSON RD,ROBERTSON RD,E1742733  N5918847,Both,2018/2/9,1058,963,750,702,130,,75,,106,,96%,0%,3%,1%,0%,4%
BARRACK RD,BANKS RD,BERTRAND RD RAB,E1763731  N5914484,Both,2018/2/9,6780,6220,5232,4412,654,,473,,673,,97%,0%,2%,1%,0%,3%
CHURCH RD (MANGERE BRIDGE),CORONATION RD RAB,WOODWARD AVE,E1759059  N5910150,Both,2018/2/8,8907,8348,7455,6445,893,,617,,844,,94%,0%,5%,1%,0%,6%
CHURCH RD (MANGERE BRIDGE),SCOTT AVE,TAINUI TCE,E1758545  N5910042,Both,2018/2/8,7532,7026,6204,5322,787,,520,,743,,95%,1%,3%,1%,0%,4%
CHURCH RD (MANGERE BRIDGE),WOODWARD AVE,SCOTT AVE,E1758823  N5910117,Both,2018/2/8,8003,7532,6860,5852,832,,577,,792,,94%,0%,5%,1%,0%,6%
CORONATION RD (MANGERE),CHURCH RD RAB,BRIDGE CRT,E1759113  N5910258,Both,2018/2/8,3944,3768,3667,2991,262,,309,,368,,93%,1%,5%,1%,0%,6%
CORONATION RD (MANGERE),DOMAIN RD,TAYLOR RD,E1759237  N5909629,Both,2018/2/8,10648,10010,9250,7581,799,,771,,1125,,94%,0%,3%,3%,0%,6%
CORONATION RD (MANGERE),DUNSTALL PL,DOMAIN RD,E1759298  N5909484,Both,2018/2/8,11841,11087,10202,8202,1046,,807,,1293,,96%,0%,2%,2%,0%,4%
CORONATION RD (MANGERE),MCKENZIE RD RAB,TANNERS RD,E1759493  N5908968,Both,2018/2/8,11762,11131,10771,8334,807,,824,,1154,,92%,0%,6%,2%,0%,8%
CORONATION RD (MANGERE),MOUNTAIN RD,HOCKEN PL,E1759380  N5909283,Both,2018/2/8,12137,11373,10501,8429,911,,819,,1326,,94%,0%,3%,3%,0%,6%
CORONATION RD (MANGERE),TANNERS RD,MOUNTAIN RD,E1759411  N5909192,Both,2018/2/8,11471,10856,10405,8231,801,,808,,1180,,94%,0%,3%,3%,0%,6%
CORONATION RD (MANGERE),TAYLOR RD,MCINTYRE RD RAB,E1759173  N5909909,Both,2018/2/8,9936,9382,8781,7216,826,,723,,936,,93%,0%,4%,3%,0%,7%
DAIRY FLAT HIGHWAY,KAHIKATEA FLAT RD,URBAN_RURAL,E1746749  N5942592,Both,2018/2/14,10211,9436,8369,6629,936,,808,,1051,,84%,2%,10%,3%,1%,14%
DAIRY FLAT HIGHWAY,START PASSING LANE,END PASSING LANE,E1748737  N5936848,Both,2018/2/16,11640,10745,9396,7617,1047,,899,,1358,,87%,2%,7%,3%,1%,11%
DAIRY FLAT HIGHWAY,URBAN_RURAL,GREENS RD,E1746501  N5939870,Both,2018/2/13,10147,9312,8049,6397,964,,784,,1123,,83%,2%,11%,3%,1%,15%
FITZHERBERT AVE,ST MARGARET PL,HUEGLOW RISE,E1744579  N5923789,Both,2018/2/8,690,631,480,484,88,,66,,99,,98%,0%,2%,0%,0%,2%
HOLLY ST,VICTOR ST,COLORADO PL,E1750887  N5916100,Both,2018/2/8,2328,2090,1624,1365,337,,150,,340,,97%,0%,2%,1%,0%,3%
KAHIKATEA FLAT RD,TURLEY RD,AUSTIN RD,E1745192  N5943948,Both,2018/2/14,3786,3495,3116,2416,388,,441,,544,,86%,3%,6%,3%,2%,11%
LEGACY DR,CHISLEHURST ST,PARRS CROSS RD,E1744725  N5914576,Both,2018/2/8,342,318,262,256,31,,31,1145,44,1445,98%,0%,2%,0%,0%,2%
MCFADZEAN DR,DONOVAN ST,TERRY ST,E1752364  N5912622,Both,2018/2/8,867,771,589,477,183,,54,1145,103,1445,98%,0%,2%,0%,0%,2%
