Count Start Date,Road Name,Carriageway Start Name,Carriageway End Name,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total,latitude,longitude
2015-11-04,LADIES MILE (REMUERA),REMUERA RD,ORMONDE RD,11488.0,10346.0,8471.0,6513.0,1101,745.0,873,1400.0,1212,1700.0,0.95,0.01,0.02,0.01,0.0,0.03,-36.88300630324986,174.80915110336585
2016-05-05,GRANDE VUE RD (MANUREWA),MOTORWAY ONRAMP (END ISLAND LHS),HILL RD,17898.0,17580.0,17770.0,15795.0,1460,,1393,,1279,,0.9,0.01,0.08,0.0,0.0,0.09,-37.01436382413398,174.90484048937174
2017-05-04,GRANDE VUE RD (MANUREWA),MOTORWAY ONRAMP (END ISLAND LHS),HILL RD,18810.0,18014.0,17674.0,14374.0,1572,,1369,,1343,,0.91,0.01,0.07,0.01,0.0,0.08,-37.01436382413398,174.90484048937174
2017-12-14,ST LUKES RD,CORNWALLIS ST,SANDRINGHAM RD (LHS),29674.0,28867.0,28201.0,25499.0,1849,900.0,2355,1130.0,2372,1800.0,0.92,0.01,0.02,0.03,0.01,0.05,-36.88460633303341,174.73635642690937
2017-12-18,KAWAKAWA BAY COAST RD-HC-WK1,TE PAPA RD,END,167.0,200.0,301.0,269.0,18,845.0,41,,39,,0.94,0.02,0.04,0.0,0.0,0.04,-36.9382051718795,175.18224765393256
2017-12-25,KAWAKAWA BAY COAST RD-HC-WK2,TE PAPA RD,END,451.0,465.0,531.0,467.0,30,845.0,83,,79,,0.96,0.01,0.03,0.0,0.0,0.03,-36.9382051718795,175.18224765393256
2018-01-01,KAWAKAWA BAY COAST RD-HC-WK3,TE PAPA RD,END,390.0,369.0,217.0,419.0,17,830.0,93,,110,,0.96,0.01,0.03,0.0,0.0,0.03,-36.9382051718795,175.18224765393256
2018-02-07,HARBOURSIDE DR,SILKWOOD CRES,TOSCANA DR,3357.0,3113.0,2656.0,2350.0,304,730.0,239,1000.0,314,1500.0,0.93,0.01,0.05,0.0,0.0,0.05,-37.06450486094102,174.92426869653525
2018-02-07,KIDD RD (KARAKA),LINWOOD RD,SPEED DERESTRICTION,986.0,905.0,760.0,646.0,105,830.0,80,,102,,0.85,0.02,0.12,0.01,0.0,0.13,-37.11286262129619,174.83306320231702
2018-02-07,MUIR RD (KARAKA),BLACKBRIDGE RD,LEWIS RD,638.0,555.0,364.0,330.0,85,,52,,78,,0.88,0.02,0.1,0.0,0.0,0.1,-37.1146411929138,174.89081797644883
2018-02-07,BLACKBRIDGE RD (KARAKA),WALTERS RD,LINWOOD RD,886.0,755.0,469.0,390.0,231,645.0,81,1015.0,96,,0.82,0.02,0.13,0.01,0.01,0.15,-37.10517692802249,174.88236805447087
2018-02-07,CHARLES RD,GLENBROOK RD,ERNEST GEORGE DR,1538.0,1319.0,823.0,722.0,174,830.0,117,930.0,174,,0.86,0.02,0.1,0.01,0.0,0.12,-37.14371475140409,174.87107364417304
2018-02-07,CHARLES RD,STAN WRIGHT RD,GALLOWAY RD,1136.0,968.0,573.0,518.0,146,830.0,81,930.0,139,,0.88,0.02,0.08,0.01,0.0,0.1,-37.115394275719844,174.8545639039647
2018-02-07,LINWOOD RD,URQUHART RD,CHARLES RD,8973.0,7980.0,6004.0,4991.0,969,,535,,858,,0.92,0.01,0.07,0.0,0.0,0.07,-37.105863109541744,174.8548490578391
2018-02-07,LINWOOD RD,SPEED DERESTRICTION,SPEED RESTRICTION,6874.0,6146.0,4698.0,3950.0,735,,405,,657,,0.9,0.01,0.09,0.0,0.0,0.09,-37.122817545311534,174.81107358936137
2018-02-07,CLARKS BEACH RD,FARLEY RD,WHARF RD (POWERPOLE RHS),2806.0,2631.0,2436.0,1949.0,243,830.0,220,930.0,276,,0.88,0.02,0.1,0.0,0.0,0.1,-37.13697143370724,174.73000633898036
2018-02-07,MCKENZIE RD (KINGSEAT),KINGSEAT RD RAB,WRIGHT RD,3266.0,2990.0,2494.0,2105.0,301,600.0,227,1230.0,312,,0.89,0.02,0.09,0.0,0.0,0.09,-37.131007032368565,174.77615880202288
2018-02-07,FLETCHER LANE (PATUMAHOE),KINGSEAT RD,PAMELA CHRISTINE RD,412.0,380.0,339.0,263.0,61,,35,1245.0,44,1445.0,0.86,0.01,0.1,0.02,0.0,0.12,-37.1856950376039,174.82613732300217
2018-02-07,LINWOOD RD,BLACKBRIDGE RD,BRIDGE (1ST ABUTMENT),9333.0,8294.0,6218.0,5177.0,996,600.0,544,1230.0,889,,0.92,0.02,0.06,0.0,0.0,0.07,-37.10110167501829,174.871071208578
2018-02-07,LAING RD,LINWOOD RD,BRYANT RD (SIGN),269.0,231.0,153.0,118.0,27,600.0,34,1230.0,34,,0.88,0.03,0.08,0.01,0.0,0.09,-37.10615768068154,174.84926348818587
2018-02-07,KINGSEAT RD,MCKENZIE RD RAB,SPEED RESTRICTION,6248.0,5571.0,4184.0,3574.0,670,645.0,365,1100.0,598,1545.0,0.89,0.02,0.09,0.0,0.0,0.09,-37.13694186387549,174.79442247816982
2018-02-07,KARAKA NORTH RD,LINWOOD RD,CATO PEART RD,757.0,659.0,457.0,372.0,67,645.0,79,1100.0,85,1545.0,0.85,0.02,0.08,0.03,0.02,0.13,-37.09108350937011,174.88785843406797
2018-02-07,CRISPE RD,TORKAR RD,END,212.0,206.0,203.0,175.0,30,830.0,39,1345.0,29,,0.9,0.01,0.08,0.0,0.0,0.08,-37.13437795008369,174.7099765876245
2018-02-07,MCKENZIE RD (KINGSEAT),CHURCH VIEW RD,VILLAGE FIELDS RD,2898.0,2670.0,2264.0,1938.0,243,600.0,208,1230.0,278,,0.93,0.02,0.04,0.0,0.0,0.05,-37.136381817019995,174.75478235210144
2018-02-07,SEAGROVE RD (WAIAU PA),CHURCH VIEW RD,WRIGHT RD,424.0,395.0,324.0,324.0,51,845.0,36,1300.0,50,1615.0,0.87,0.03,0.08,0.01,0.0,0.09,-37.11110188875263,174.61714704420194
